AK,188,650,626932
AL,878,540,4447100
AR,736,494,2673400
AZ,296,482,5130632
CA,112,352,33871648
CO,440,366,4301261
CT,1152,240,3405565
DE,1112,332,783600
FL,1020,662,15982378
GA,956,534,8186453
HI,464,760,1211537
IA,714,294,2926324
ID,286,202,1293953
IL,810,336,12419293
IN,874,330,6080485
KS,604,388,2688418
KY,906,406,4041769
LA,742,604,4468976
MA,1162,216,6349097
MD,1076,324,5296486
ME,1190,118,1274923
MI,892,240,9938444
MN,678,172,4919479
MO,730,394,5595211
MS,812,548,2844658
MT,388,122,902195
NC,1038,442,8049313
ND,566,130,642200
NE,572,302,1711263
NH,1160,178,1235786
NJ,1122,286,8414350
NM,416,490,1819046
NV,204,314,1998257
NY,1082,214,18976457
OH,944,320,11353140
OK,618,478,3450654
OR,148,172,3421399
PA,1046,288,12281054
RI,1178,234,1048319
SC,1012,502,4012012
SD,572,218,754844
TN,882,458,5689283
TX,582,598,20851820
UT,308,342,2233169
VA,1058,378,7078515
VT,1134,172,608827
WA,184,76,5894121
WI,784,206,5363675
WV,992,356,1808344
WY,414,250,493782